channels,correlation,variance_mean,variance_std,bias_mean,bias_std,adstock_mean,adstock_std,saturation_mean,saturation_std
3,0.5,35.669586725358535,4.16411145544789,9.049992592592591,3.106969325708195,26.34177904839141,3.308322803159719,26.385504349403828,3.5809156066999948
3,0.6,42.50616033455412,4.12358969875367,10.324737037037035,3.657293786038208,28.472636272646096,2.681976145903437,28.490634300529493,2.4108400891540387
3,0.75,53.75923456410152,3.843887026164537,10.412796296296298,4.383783426737424,33.0561109145563,6.581091262321858,28.35482772116108,3.4277485560010503
3,0.9,68.15967079945614,3.1401685609310293,5.267462962962963,3.605912200432658,34.00646744081084,3.0438551821119986,26.05184484468926,6.978357211287242
5,0.5,36.110822943794055,1.2550756285515432,7.108357777777777,2.278193398907277,18.979496523309624,2.4317117628795746,20.45978810827621,5.610865147715294
5,0.6,43.49064074175643,0.996628296573122,8.533762222222222,3.9708821985542535,21.666122858251285,4.089257376976501,21.97299816101232,3.790594915802932
5,0.75,55.61568636300663,0.5865190250101703,11.96050222222222,7.880610917270465,27.860996602657007,2.1088382335067486,20.48810379860536,2.737901468427272
5,0.9,71.35478096335972,0.3569430013204544,26.869515555555555,13.601931296455342,33.96405800769717,6.845983251560622,17.461430474272305,5.250621306831145
10,0.5,36.00588904820455,0.6346282214060005,5.507357777777777,3.7197145574481048,24.436046854203664,1.420706203843023,19.801551694942848,3.8639043963073214
10,0.6,43.177594969911326,0.5207434755767596,8.992409999999998,5.476498302019481,28.67492856790757,1.0976100795199513,21.07874557827132,3.510988127874334
10,0.75,55.2425115156856,0.3359813677923161,18.24714111111111,9.666436740044208,35.682274624268544,3.915574284706469,19.720336038292945,1.9180370684861432
10,0.9,71.4859789982048,0.2453155293252731,43.50102777777778,19.896494293296502,48.69873264213136,5.263009028963944,17.851840413566247,1.7508024571115512
15,0.5,35.220415092075974,0.7139298908182647,16.264631851851856,5.18356700227009,21.427542349780712,1.2656752419407236,23.41103251061774,1.949670350039782
15,0.6,42.08494939096016,0.8041723597712366,22.65158296296297,7.2561486030892945,24.93348832165205,0.7921352835694596,24.479614743672663,2.214122263741855
15,0.75,53.84294081061942,0.8309850098224743,40.00319111111111,13.31451954490094,31.58987030268399,2.6613993891525545,22.82851511579543,1.2997657126209512
15,0.9,70.20478195709575,0.6168910026847785,87.9503525925926,28.894817479033865,45.92798420051568,3.9346355488733793,22.018277935031065,2.92888565812315
20,0.5,34.48440815892914,0.7410127721516397,24.46101888888889,4.632078703991833,23.56905979561301,2.401881132952429,24.764929470856178,2.510980530474995
20,0.6,41.05247898513476,0.7304892491916208,34.869991666666664,6.061784787359798,27.325581431778986,2.6585291218709,24.283157826407173,1.8361785115790925
20,0.75,52.42468793559945,0.7034266097681743,60.925166666666655,9.850415268133034,35.57174845292749,3.5288604512370187,22.70309737274427,1.8097186075644245
20,0.9,68.7329840631454,0.6685772808964953,131.34915444444445,22.725601473149855,46.759716652246844,4.801568926578143,21.0305104474026,2.1933564700355515
